date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-29 11:27:14,BdelaChesnais,,0,3,14,"#Carpentras #UnionPourCarpentras #Municipales2020 ",,,#Carpentras #UnionPourCarpentras #Municipales2020 #Municipales2020,1277564278711685120,https://twitter.com/BdelaChesnais/status/1277564278711685120
2020-06-29 11:27:11,FrolichLaurent,,0,0,0,"#electionsMunicipales2020 #Municipales2020 : le contentieux en bref : jusqu'à vendredi pour contester : https://www.clfavocats.fr/droit-public-elections-municipales-2020-le-contentieux-0",,,#electionsMunicipales2020 #Municipales2020 #Municipales2020,1277564263717093376,https://twitter.com/FrolichLaurent/status/1277564263717093376
2020-06-29 11:27:08,JLB75004,,0,0,1,"Merci @Anne_Hidalgo #Municipales2020 #MunicipalesParis #AnneHidalgo #Paris",,@Anne_Hidalgo,#Municipales2020 #Municipales2020 #MunicipalesParis #AnneHidalgo #Paris,1277564251864018947,https://twitter.com/JLB75004/status/1277564251864018947
2020-06-29 11:27:07,ToriT08,BFMLyon,1,3,10,"Bon courage #Lyon, ça s’annonce grandiose les 6 ans qui arrivent. #Municipales2020 #vagueverte",,,#Lyon #Municipales2020 #Municipales2020 #vagueverte,1277564247233433603,https://twitter.com/ToriT08/status/1277564247233433603
2020-06-29 11:27:07,es_kadri,,0,1,1,"Ces financiers qui dirigent le monde - BlackRock | ARTE https://www.youtube.com/watch?v=Abz3Ab9HhaQ&amp;feature=youtu.be #GiletsJaunes #Macron #LREM #Municipales2020 #EELV #bobos",,,#GiletsJaunes #Macron #LREM #Municipales2020 #Municipales2020 #EELV #bobos,1277564246893756417,https://twitter.com/es_kadri/status/1277564246893756417
2020-06-29 11:27:05,Fantoma41154193,,0,0,0,"#sondage #Municipales2020 êtes vous satisfait du maire élu dans votre ville ou village?",,,#sondage #Municipales2020 #Municipales2020,1277564240627478528,https://twitter.com/Fantoma41154193/status/1277564240627478528
2020-06-29 11:26:51,GabrielWeber16,,0,0,0,"Congrats to @PierreHurmic @EELV for being elected as GREEN mayor of #Bordeaux. Unfortunately Bordeaux is not among the most green cities in France! Time to change that #Municipales2020 https://www.20minutes.fr/planete/1302714-20140218-20140218-sondage-inedit-revele-villes-plus-vertes-france via @20minutes",,@PierreHurmic @EELV @20Minutes,#Bordeaux #Municipales2020 #Municipales2020,1277564181366046720,https://twitter.com/GabrielWeber16/status/1277564181366046720
2020-06-29 11:26:35,ivannhln,,0,0,1,"Si notre gauche s'allie en 2022 on va rouler sur tous les bobos de droite et d'extrême droite ça peut être magique. La gauche a plié En Marche, le RN et LR hier. Et on peut encore le faire demain, en 2022, en 2026... #Municipales2020",,,#Municipales2020 #Municipales2020,1277564112298545153,https://twitter.com/ivannhln/status/1277564112298545153
2020-06-29 11:26:29,AlainBismuth,,0,1,3,"Un grand merci de la part des habitants de la 3eme circonscription de l'Isère à @EricPiolle et @Grenoble_Commun d'avoir ""augmenté la mobilité"" de notre députée Émilie Chalas vers l'assemblée nationale pour enfin exercer son mandat à temps plein. #Grenoble #Municipales2020",,@EricPiolle @Grenoble_Commun,#Grenoble #Municipales2020 #Municipales2020,1277564087405285377,https://twitter.com/AlainBismuth/status/1277564087405285377
2020-06-29 11:26:26,gdechanterac,,0,0,1,"Quels enseignements à Paris et en France au lendemain des élections #municipales2020 ? C’était l’objet de l’échange auquel j’ai participé dans la matinale de @LouisDaufresne @radionotredame avec Jean-Baptiste Canivet ce matin. ",,@LouisDaufresne @radionotredame,#municipales2020 #municipales2020,1277564074784628742,https://twitter.com/gdechanterac/status/1277564074784628742
2020-06-29 11:26:22,joe_bruad,,0,0,0,"#Municipales2020 #MunicipalesParis #Municipales #Paris #LREM",,,#Municipales2020 #Municipales2020 #MunicipalesParis #Municipales #Paris #LREM,1277564060414984192,https://twitter.com/joe_bruad/status/1277564060414984192
2020-06-29 11:25:51,MarcBodin3,Catubodua_,0,0,0,"Pour aller où? Marseille? Bordeaux? Lyon? Strasbourg? Grenoble? Beaucoup des grands pôles économiques succombent à l'anti-économisme de la secte verte, c'est du masochisme, surtout en plein COVID19. Municipales2020 ",,,,1277563928260853761,https://twitter.com/MarcBodin3/status/1277563928260853761
2020-06-29 11:25:44,brazil1383,,1,2,3,"Et donc, notre formidable démocratie permet à un fiché S de ses présenter aux #Municipales2020 et de devenir maire... La #France devient un formidable Eldorado pour ceux qui souhaitent la mettre à genoux, et, ce, dans la plus grande indifférence... #Goussainville #Hamida",,,#Municipales2020 #Municipales2020 #France #Goussainville #Hamida,1277563901240938536,https://twitter.com/brazil1383/status/1277563901240938536
2020-06-29 11:25:40,infofrance2,,1,1,0,"#Municipales2020 à Paris : Il y a un an après les Européennes, #LREM semblait avoir tous les atouts pour remporter Paris. La campagne a été désastreuse, la greffe avec Agnès Buzyn n'a jamais réussi à prendre. Et la droite ne perd aucun arrondissement. @JBMarteau dans le #JT13h",,@jbmarteau,#Municipales2020 #Municipales2020 #LREM #JT13h,1277563885151760385,https://twitter.com/infofrance2/status/1277563885151760385
2020-06-29 11:25:40,schydlowski1,franceinfoplus,0,0,0,"Excellente nouvelle pour la démocratie que cela continue ainsi #Municipales2020 #NonauFN",,,#Municipales2020 #Municipales2020 #NonauFN,1277563884656828416,https://twitter.com/schydlowski1/status/1277563884656828416
2020-06-29 11:25:38,lemonde_pol,,0,0,2,"EDITO. #Municipales2020 : trois séismes dans un scrutin atypique ",,,#Municipales2020 #Municipales2020,1277563873189650432,https://twitter.com/lemonde_pol/status/1277563873189650432
2020-06-29 11:25:34,pnferry,Catubodua_,2,5,6,"Pour aller où? Marseille? Bordeaux? Lyon? Strasbourg? Grenoble? Beaucoup des grands pôles économiques succombent à l'anti-économisme de la secte verte, c'est du masochisme, surtout en plein #COVID19. #Municipales2020 ",,,#COVID19 #Municipales2020 #Municipales2020,1277563858132119553,https://twitter.com/pnferry/status/1277563858132119553
2020-06-29 11:25:10,wiss_michele,SudRadio,0,1,1,"#Municipales2020 #Abstention Cette élection locale a été faussée depuis le début pour cause de covid. Pas de vraie légitimité non plus pour les maires élus au 1er tour puisque forte abstention déjà, et désintérêt pour le 2e tour. Il aurait fallu reporter l'élection à 2021 !",,,#Municipales2020 #Municipales2020 #Abstention,1277563756759912448,https://twitter.com/wiss_michele/status/1277563756759912448
2020-06-29 11:25:05,JournalGdParis,,0,1,1,"#Municipales2020 : les résultats du premier tour confirmés dans le Val d’Oise ",,,#Municipales2020 #Municipales2020,1277563736262348801,https://twitter.com/JournalGdParis/status/1277563736262348801
2020-06-29 11:25:00,MkpaSoln,VillaniCedric,0,0,0,"0,8...Tu pourras les inviter dans ton salon pour un apéro Villani voulait être un bœuf il représente à peine la patte d’une petite souris ... y a une justice tout de même ! Chehh Municipales2020 ",,,,1277563714863017984,https://twitter.com/MkpaSoln/status/1277563714863017984
2020-06-29 11:24:58,arnaudmercier,,0,0,1,"#Municipales2020 Les résultats : https://lnkd.in/e2WhRmu @VillaniCedric, conseiller de secteur, mais pas conseiller communautaire @paris",,@VillaniCedric @Paris,#Municipales2020 #Municipales2020,1277563708051423233,https://twitter.com/arnaudmercier/status/1277563708051423233
2020-06-29 11:24:34,MAITREPIMS1,,0,0,0,"98 ans élu comme maire #electionsMunicipales2020 #Municipales2020 ",,,#electionsMunicipales2020 #Municipales2020 #Municipales2020,1277563605064572929,https://twitter.com/MAITREPIMS1/status/1277563605064572929
2020-06-29 11:24:33,cvindis,,0,0,1,"Une des leçons de ces #Municipales2020 c’est que les bordelais sont finalement moins cons que les toulousains!",,,#Municipales2020 #Municipales2020,1277563602090831874,https://twitter.com/cvindis/status/1277563602090831874
2020-06-29 11:24:23,GroppoCharlotte,,0,0,0,"30% des maires des grandes villes de plus de 100.000 habitants sont des femmes. #parite #Municipales2020 https://www.franceinter.fr/politique/municipales-dans-les-41-villes-de-plus-de-100-000-habitants-des-femmes-des-jeunes-et-du-vert via @franceinter",,@franceinter,#parite #Municipales2020 #Municipales2020,1277563559891865601,https://twitter.com/GroppoCharlotte/status/1277563559891865601
2020-06-29 11:24:19,ProfToujours,,0,1,4,"#Municipales2020 LR devient le 1er parti de France en nombre d'élus locaux. Le @partisocialiste est le second. En très net regain. Mais il faut poursuivre, sans relâche, sans divisions. Produire des idées. Peser dans les débats. Refonder les forces du clivage nécessaire.",,@partisocialiste,#Municipales2020 #Municipales2020,1277563543706009600,https://twitter.com/ProfToujours/status/1277563543706009600
2020-06-29 11:24:16,HommesInfluence,,11,50,203,"Tu connais le point commun entre les écolos et les vegan ? Ils vivent tous en ville #Municipales2020 #vagueverte",,,#Municipales2020 #Municipales2020 #vagueverte,1277563530649239554,https://twitter.com/HommesInfluence/status/1277563530649239554
2020-06-29 11:24:11,infofrance3,,0,1,1," Une #vagueverte a déferlé sur la France aux #Municipales2020. #EELV a notamment conquis des grandes villes comme #Bordeaux,#Lyon et #Strasbourg. #JT1213",,,#vagueverte #Municipales2020 #Municipales2020 #EELV #Bordeaux #Lyon #Strasbourg #JT1213,1277563508939468801,https://twitter.com/infofrance3/status/1277563508939468801
2020-06-29 11:24:04,ElnaNaivo,carolinedehaas,0,0,0,"Hum hum. #Municipales2020 #EELV",,,#Municipales2020 #Municipales2020 #EELV,1277563479126421507,https://twitter.com/ElnaNaivo/status/1277563479126421507
2020-06-29 11:24:03,RTLMidi,,1,4,5," #Municipales2020 #Abstention : ""La démocratie française est dans une situation de profond malaise civique."", estime @pascalperrinea1, politologue, invité de @krissreb dans #RTLMidi",,@pascalperrinea1 @krissreb,#Municipales2020 #Municipales2020 #Abstention #RTLMidi,1277563478656659457,https://twitter.com/RTLMidi/status/1277563478656659457
2020-06-29 11:23:49,AnnaMAILLARD1,EelvAnimaux,0,0,3,"Formidable #AnimalsRights #animallivesmatter #EELV #vagueverte #Municipales2020 ",,,#AnimalsRights #animallivesmatter #EELV #vagueverte #Municipales2020 #Municipales2020,1277563416249589760,https://twitter.com/AnnaMAILLARD1/status/1277563416249589760
2020-06-29 11:23:40,MBeezbiz,,0,0,0," Il n'est plus nécessaire de voter aux élections; il suffit qu'elles aient lieu. Abstention Il n'est même plus nécessaire de gagner une élection pour crier victoire. ChristianJacob Municipales2020 ",,,,1277563380228915200,https://twitter.com/MBeezbiz/status/1277563380228915200
2020-06-29 11:23:39,joe_bruad,,0,0,1,"#Municipales2020 #MunicipalesParis #Municipales #Paris Pertes voix Droite comparées 2014.",,,#Municipales2020 #Municipales2020 #MunicipalesParis #Municipales #Paris,1277563375560667137,https://twitter.com/joe_bruad/status/1277563375560667137
2020-06-29 11:23:38,adnanesnoussi,,0,0,0,"@Le_Figaro #Municipales2020 ",,@Le_Figaro,#Municipales2020 #Municipales2020,1277563373840891904,https://twitter.com/adnanesnoussi/status/1277563373840891904
2020-06-29 11:23:33,Leendert,renaudpila,0,0,0,"Comme quoi le monde d'après est très semblable au monde d'avant... #Municipales2020 ",,,#Municipales2020 #Municipales2020,1277563352978505730,https://twitter.com/Leendert/status/1277563352978505730
2020-06-29 11:23:32,laurentdogrel,,0,1,2,"En espérant que cette humiliation fera réfléchir tous ceux qui s’engagent dans une candidature n’ayant pas de sens, ni de cohérence, faite d’antagonismes et apparaissant telle une arrogante provocation. Les électeurs détestent cela. #Buzyn #Municipales2020 ",,,#Buzyn #Municipales2020 #Municipales2020,1277563346007588864,https://twitter.com/laurentdogrel/status/1277563346007588864
2020-06-29 11:23:31,NielsLeblic,,0,0,0,"Hâte d'entendre qu'une #vagueverte avec 60 % d'abstention est plus légitime que l'élection de #Macron avec moitié moins d'abstention en 2017. Rendez-vous dans six ans pour juger leurs actions et voir si l'on vit vraiment mieux à Marseille ou Lyon (gros doutes) #Municipales2020",,,#vagueverte #Macron #Municipales2020 #Municipales2020,1277563344048685056,https://twitter.com/NielsLeblic/status/1277563344048685056
2020-06-29 11:23:29,annepenketh,,1,0,1,"Mass kissing seems to have returned in France as ppl celebrate election results...what about social distancing? #SecondWaveIsComing #Municipales2020",,,#SecondWaveIsComing #Municipales2020 #Municipales2020,1277563335857373184,https://twitter.com/annepenketh/status/1277563335857373184
